cn_name,en_name,stype,genbank,desc,envir,liter,discuss,sample,other
扭曲野粮衣,"Circinaria tortuosa (H. Magnusson) Q. Ren, in Ren & Zhang, Mycosystema 37(7): 877 (2018)≡ Lecanora tortuosa var. tortuosa H. Magn., Lichens Central Asia 1: 111 (1940)",无信息,无信息,地衣体：壳状，不规则扩展，直径约3～5cm；中央呈疣状，直径0.8 ～ 2 x 1 mm，厚1～2 mm，边缘裂片有时扭曲生长至亚枝状，厚2 ～ 3 mm；表面：赭黄色、苍白色至墨绿色，被粉霜，表面常无皮层，沿扭曲的表面具裂缝，无下地衣体；皮层：厚25 ～ 35 μm；髓层：含晶体；子囊盘：单生，盘面深凹，被浓厚的粉霜， 直径0.4 ～ 1 mm；果托缘部肿胀；子囊及子囊孢子：子囊内含2 ～ 4 个孢子；孢子近球形，直径17.5 ～ 27.5 ×15 ～ 20 μm；地衣特征化合物：地衣体K–，C–，PD–，不含地衣酸类特征化合物。,半干旱、干旱区域的硅质岩石或卵石及其周边土壤，海拔2000 ～ 4000 m。,文献分布记录：甘肃、新疆、青海（任强，张丽花，2018）。,本种生长初期地衣体紧贴基物生长，呈壳状，之后边缘裂片或中央部分小网块常呈亚枝状。,青海，乌兰，王立松等18-58263；甘肃，嘉峪关，王立松等18-58699。,无信息
聚筛蕊,"Cladia aggregata (Sw.) Nyl., Recogn. Ram. 69: 167, 1870≡Lichen aggregatus Sw., Prodr.: 147, 1788.","JAMAICA, O. Swartz s. n. (S-L1653, lectotype).",无信息,"地衣体：初生地衣体早期消失；果柄：圆柱状，中空，灌木状直立稠密丛生，无杯体，高3 ～ 8 cm，直径0.5 ～ 3 mm，鲜绿色、黄绿棕色至暗棕色，光滑而具光泽，干燥后变黄褐色，易碎，分枝表面及枝腋间具众多圆形或椭圆形穿孔，无粉芽、裂芽及假杯点；子囊盘：生于果柄顶端，颗粒状，黑棕色；地衣特征化合物：果柄K−, KC−, P−，含 barbatic acid。",土生，往往与苔藓混生，偶见于树基部，海拔1500-3800 m。,"西藏、云南、四川、贵州、河南、广西、安徽、江西、福建、浙江、海南、香港，欧洲、亚洲、美洲（Zahlbr., 1930；王杨贞容&赖明洲，1973；魏江春&姜玉梅，1986；Xu, 1989；Aptroot & Sipman, 2001；魏江春等，2013；王立松&钱子刚, 2015）。",本种的主要特征是地衣体表面具椭圆形筛孔易于识别。,四川（Sichuan） 盐源县，王立松 等19-62890；云南（Yunnan） 德钦县，王；中甸县，王立松 04-23186；丽江县， 18-60712；贡山县，王立松 00-19082；景东县，王立松 等 12-34670；西藏（Xizang），察隅县，王立松 等14-46399，墨脱县，王欣宇 等18-61989，定结县，王立松 等19-65746。,无信息
粉刺树发,"Alectoria spiculatosa Li S. Wang & Xin Y. Wang. Mycosphere, 6(2): 159–164 (2015).Type: China, Yunnan, Li S. Wang 14–44046 (KUN–L45926, holotype).","China, Yunnan, Li S. Wang 14–44046 (KUN–L45926, holotype).",发表时有分子！？,"地衣体：灌木状直立丛生，高1.5～3 cm，基部黑色，近顶端深棕色；主枝：直径0.3～0.5（～1）mm，圆柱状至扁枝状；分枝：密集二叉式分枝，偶见小刺状分枝，长0.1～0.5 mm，小刺状分枝与主枝同色，中空；粉芽：颗粒状；裂芽：生于粉芽上的小裂芽，长0.1～0.5 mm；假杯点：丰多，灰白色至浅褐色，裂隙状，长0.2～1.2 mm，成熟时凸起常粉芽化；皮层：厚40～50 µm，髓层菌丝疏松，菌丝直径6～9 µm，表面具疣突；子囊盘和分生孢子器：未见；共生光合生物：绿球藻，藻层厚25～30 µm；地衣特征化合物：髓层和皮层 K ± 黄色， P+ 桔红色，C-，KC+ 黄色，含 usnic, virensic and protocetraric acids。",生于海拔4000米以上的冷杉（Abies）树干。,云南，仅知模式产地（云南）分布（Wang L.S. et al.，2015）。,该种特征是具粉芽化的假杯点及粉芽堆生有小刺状裂芽。本种与A. imshaugii都具裂芽，但是后者地衣体长5～8 cm，含地茶酸和鳞片衣酸。,云南（Yunnan），丽江县，王立松11–32085，11–32102。,无信息
黑穗石蕊,"Cladonia amaurocraea (Flörke) Schaer., Monogr. Cladon. 1: 339, 1887≡Capitularia amaurocraea Flörke, Beitr. Naturk. 2: 334, 1810.","Locatity unknown (BM000746371, lectotype).",无信息,"地衣体：初生地衣体鳞片状，早期消失；果柄：直立，高5 ～ 10 cm，等长二叉分枝；无杯或具浅杯，杯缘生暗褐色芒刺，杯底及枝腋有圆形至裂隙状穿孔；表面：果柄黄绿色至灰绿色，顶端常淡栗褐色，皮层连续或龟裂；无粉芽和小鳞芽；子囊盘：较大，生于果柄顶端或杯缘，淡褐色；分生孢子器：生于果柄顶端，内含物红色；地衣特征化合物：果柄 C−, K−, KC+ 黄色, P−, UV−，含usnic, barbatic acids, polysaccharide。",高山林下土层，海拔3600 ～ 4200m。,"河北、内蒙古、吉林、黑龙江、云南、西藏、新疆；欧洲、亚洲、北美、澳洲、新西兰（Stenroos et al., 1994；阿布都拉&吴继农，1998；王立松&钱子刚, 2015）。",本种表面具连续或网状的皮层，无粉芽和小鳞芽，偶具浅杯，枝腋和杯底具穿孔；与寸石蕊（C. uncialis）的形态相似，但后者皮层为斑块状，常露出白色的髓层，含鳞叶衣酸（squamulose acid）。,四川（Sichuan） 乡城县，王立松02-21484；云南（Yunnan） 德钦县，王立松 等13-38569；中甸县，王立松 04-23186；西藏（Xizang）， 昌都县，王立松04-25578。,无信息
林石蕊,"Cladonia arbuscula (Wallr.) Flot., Flechten Hirschberg-Warmbrunn: 94, 1839≡Patellaria foliacea var. arbuscula Wallr., Naturg. Saulchen. Fl.: 169, 1829.",无信息,无信息,"地衣体：初生地衣体壳状，早期消失；果柄：直立，高8 ～ 10 cm，分枝稀疏，下部不等叉分枝，上部三叉或四叉分枝，分枝顶端多少偏向一侧，无杯体，枝腋通常具穿孔；表面：果柄浅黄绿色至浅黄色，顶端棕色，无皮层，具小疣；粉芽和小鳞芽：无；子囊盘：未见；分生孢子器：常见于枝端，内含物无色。地衣特征化合物: 果柄: C−, K−, KC+ 黄色, P+ 红色, UV− ，含usnic 和 fumarprotocetraric acids。",生于林下藓层。,"内蒙古、吉林、黑龙江、辽宁、贵州、四川、陕西、云南、西藏、台湾，欧洲、亚洲、美洲（王立松，2012；王立松&钱子刚, 2015）。",本种为分枝的枝状地衣，地衣体表面无皮层，呈淡黄色，先端棕色，枝腋穿孔，无粉芽或小鳞芽；初生地衣体壳状。本种与软鹿石蕊（C. mitis）和鹿石蕊（C. rangiferina）外形相似，但本种的地衣特征化合物为松萝酸（usnic acid）和富马原岛衣酸（fumarprotocetraric acid），可作区别。,四川（Sichuan） 稻城县，王；云南（Yunnan） 德钦县，王；中甸县，王立松 04-23186；西藏（Xizang） 林芝县，王。,无信息
类黄粉石蕊,"Cladonia bacilliformis (Nyl.) Sarnth., Öst. Bot. Z. 46: 264, 1896≡Cladonia carneola var. bacilliformis Nyl., Herb. Mus. Fenn. 79, 1859.","FINLAND, Turku, Ispoinen, Puun tyvellä maanrajassa, Räsänen V. s. n., 1921 (H9503077, type of Cladonia bacilliformis (Nyl.) Sarnth. f. subcrustacea Räsänen).",无信息,"地衣体：初生地衣体宿存，鳞片状，边缘具疏齿。果柄高约2 cm，分枝稀疏，单生或上部稍分枝，枝腋不穿孔，顶端钻状或微钝，有时具狭杯；表面：果柄明黄色，仅基部具皮层；粉芽和小鳞芽：粉末状粉芽密生，基部有少量鳞片（此处与郭守玉老师的描述有出入）；子囊盘：未见；分生孢子器：生于枝顶，内含物无色。地衣特征化合物: 果柄: K−, PD−，含 usnic和barbatic acids。",腐木及树基部，偶见土生。,"四川（Stenroos et al., 1994）、西藏（魏江春&姜玉梅，1986，误定为C. cyanipes (Sommerf.) Nyl.），欧洲、亚洲、美洲、澳洲（Stenoroos et al., 2016）。",本种的主要特征是地衣体明黄色，密被粉芽；初生地衣体鳞片状宿存，边缘具齿。本种与硫石蕊（C. sulphurina）相似，但是本种的分生孢子器内含物无色（在硫石蕊中为红色），含松萝酸（usnic acid）和巴巴酸（barbatic acid）（在硫石蕊中为松萝酸和鳞叶衣酸（squamulose acid））。,四川（Sichuan） 稻城县，王；云南（Yunnan） 德钦县，王；中甸县，王立松 04-23186；西藏（Xizang） 林芝县，王。,无信息
腐石蕊,"Cladonia cariosa (Ach.) Spreng., Syst. Veg., Edn 16 4(1): 272, 1827",无信息,无信息,"地衣体：初生地衣体鳞片状，多少宿存。果柄高1 ～ 2 cm，微具棱，单生或在顶端具稀疏的不规则分枝，枝腋不穿孔，无杯体；表面：果柄灰白色至污白色，表面具长纵沟及裂隙，皮层部分龟裂或具粗糙颗粒；粉芽和小鳞芽：无；子囊盘：顶生，暗棕色至淡棕色；分生孢子器：生于初生小鳞片上，内含物无色。地衣特征化合物: 果柄: K+ 黄色, PD+ 通常红色，含atranorin, ±fumarprotocetraric acid, ± rangiformic和 norstictic acids。",常见于裸地。,无信息,本种的地衣体枝状，不分枝或在顶端稍分枝，具宿存的鳞叶状初生地衣体。其地衣体表面具长纵沟及裂隙，无粉芽。本种与硬柄石蕊（C. macroceras）外形相似，但后者的果柄表面散生小鳞芽，有时具狭杯（本种均无）。此外，本种通常长在裸土上，而硬柄石蕊常见于腐木上。,四川（Sichuan） 稻城县，王；云南（Yunnan） 德钦县，王；中甸县，王立松 04-23186；西藏（Xizang） 林芝县，王。,无信息
喇叭粉石蕊,"Cladonia chlorophaea (Flörke ex Sommerf.) Spreng., Syst. Veg., Edn 16 4(1): 273, 1827≡Cenomyce chlorophaea Flörke ex Sommerf, Suppl. Fl. Lapp.: 130, 1826.","NORWAY, Nordland: Saltdalen, Sommerfelt s. n. (O, lectotype).",无信息,"地衣体：初生地衣体宿存，小鳞叶状，深裂，边缘上翘；上表面灰绿色至暗绿色，下表面白色；果柄：高1 ～ 4 cm，向顶端逐渐扩大呈完全杯或撕裂状杯体，杯底不穿孔，杯缘再生新杯；表面：橄榄绿色至灰绿色，近基部有不连续皮层，龟裂或具瘤状突；粉芽：散生于顶端或杯内，颗粒状；小鳞芽：偶见于果柄基部；子囊盘和分生孢子器：黄褐色，生于杯缘或短果柄顶端，分生孢子器内含物无色；地衣特征化合物：果柄C−, K−, KC−, P+ 桔红色，含fumarprotocetraric acid。",生于腐木及岩表土层，海拔3400 ～ 4200m。,"黑龙江、吉林、辽宁、内蒙古、新疆、陕西、西藏、四川、贵州、山东、安徽、浙江、湖北、福建、台湾，欧洲、亚洲、非洲、美洲、澳洲、南极洲（陈锡龄等，1981；阿布都拉&吴继农，1998；赵遵田等，2002；王立松，2012；Stenoroos et al., 2016）。",本种初生地衣体鳞叶状，宿存，果柄不分枝，表面散生颗粒状粉芽，基部有不连续皮层和小鳞芽，顶端形成完全杯或撕裂杯体；与粉杯红石蕊（C. pleurota）及云南石蕊（C. yunnana）形态相似，但后两种含usnic acid。,四川（Sichuan） 康定县，王立松06-26049；云南（Yunnan） 德钦县，王立松13-38457；中甸县，王立松 04-23186；西藏（Xizang） 林芝县，王欣宇 等18-62115。,无信息
缘毛石蕊,"Cladonia ciliata Stirt., Scott. Natural., N.S. 3 (9): 308, 1888Type: SCOTLAND, Knocknalling wood. new Galloway, James McAndrew, no. 64, 1884 (BM000974870, isotype of Cladonia ciliata Stirt. f. ciliata).","SCOTLAND, Knocknalling wood. new Galloway, James McAndrew, no. 64, 1884 (BM000974870, isotype of Cladonia ciliata Stirt. f. ciliata).",无信息,"地衣体：初生地衣体壳状，早期消失。果柄丛生，高5 ～ 12 cm，极细，主枝明显，常二叉分枝，顶端小枝倾向一侧，枝腋一般无穿孔，无杯体；表面：果柄灰绿色，表面具长先端通常呈棕色，无皮层，表面密布网纹；粉芽和小鳞芽：无；子囊盘：常见，聚生于枝顶，小型，棕色；分生孢子器：顶生，内含物红色。地衣特征化合物: 果柄: K−, PD+ 红色，含fumarprotocetraric, frequently usnic以及 ursolic acids。",常见于裸地。,"黑龙江、吉林、西藏、云南、安徽、江西、台湾（王杨贞容&赖明洲，1973；陈锡龄等，1981；魏江春&姜玉梅，1986；Wei et al., 1986），欧洲、亚洲、北美（Stenoroos et al., 2016）。",本种的初生地衣体壳状，早期消失；成熟地衣体常二叉分枝，枝腋不穿孔，无杯体，皮层，粉芽和小鳞芽。本种的形态与雀石蕊（C. stellaris）相似，但两者的点反应结果不同（所含特征化合物不同）。本种的点反应为KC+黄色，P−，雀石蕊的点反应为K−，PD+红色。,四川（Sichuan） 稻城县，王；云南（Yunnan） 德钦县，王；中甸县，王立松 04-23186；西藏（Xizang） 林芝县，王。,无信息
枪石蕊,"Cladonia coniocraea (Flörke) Spreng., Syst. Veg., Edn 16 4(1): 273, 1827≡Cenomyce coniocraea Flörke, Deutsche Lich. 7: 14 no. 138, 1821.","SWEDEN, Närke: Svennevad, Korsmon, Kjellmert G. s.n., 1950 (H9500129, isotype).",无信息,"地衣体：初生地衣体鳞片状，紧密靠生，宽3 ～ 8 mm，边缘有时具粉芽，宿存。果柄高1 ～ 2 cm，单一，顶端锥状或稀具狭杯，杯内无皮层；表面：果柄绿色或灰色，仅基部具皮层；粉芽：粉末状，几乎覆盖整个果柄表面；小鳞芽：近基部生；子囊盘和分生孢子器：稀见，棕色，生于杯缘，分生孢子器内含物无色。地衣特征化合物: 果柄: K−, PD+ 红色，含fumarprotocetraric acid。",生于腐木，树基，岩面藓层和土上。,"黑龙江、吉林、辽宁、内蒙古、新疆、陕西、贵州、湖北、台湾（Zahlbr., 1930；陈锡龄等，1981；Chen et al., 1989；Xu, 1989；阿布都拉&吴继农，1998；赖明洲等，2000；Zhang et al., 2006），欧洲、非洲、亚洲、北美（Stenoroos et al., 2016）。",本种具有不分枝的地衣体，先端锥状，无杯或具狭杯。它的果柄表面为粉芽所覆盖，基部具小鳞芽。本种与麸皮石蕊（C. ramulosa）和角石蕊（C. cornuta）相似，可通过果柄的表面结构作区分：本种仅在基部具皮层，整个果柄几乎被粉芽所覆盖；麸皮石蕊通常具疣突状的皮层；而角石蕊仅在基部具皮层，在近顶端处散生粉芽。,四川（Sichuan） 稻城县，王；云南（Yunnan） 德钦县，王；中甸县，王立松 04-23186；西藏（Xizang） 林芝县，王。,无信息
角石蕊,"Cladonia cornuta (L.) Hoffm., Descr. Pl. Cl. Crypt.: tab. 25(1), 1794≡Lichen cornutus L., Species Plantarum 2: 1152, 1753.",无信息,无信息,"地衣体：初生地衣体鳞叶状，缘具疏齿，宿存或消失。果柄钻状，有时微弯，高1 ～ 4 cm，单一或简单分枝，无杯或稀具狭杯，杯宽3 ～ 5 mm；表面：鲜绿色，橄榄棕色至暗黄褐色，无光泽，基部皮层连续，局部有裂隙状穿孔；粉芽和小鳞芽：疏生于近顶端处；子囊盘：稀见，棕色，杯缘生；分生孢子器：生于果柄顶端。地衣特征化合物: 果柄: K−, KC−, P+ 桔红色，含fumarprotocetraric acid。",腐木生。,"云南、黑龙江、陕西、安徽、西藏、新疆、四川，欧洲、亚洲、北非、北美、南美、南极洲（Xu, 1989；Chen et al.1997；阿布都拉&吴继农，1998；王立松，2012；Stenoroos et al., 2016）。",本种的主要特征是具有不分枝的果柄，果柄表面有裂隙状穿孔；初生地衣体鳞叶状；具棕色的子囊盘；地衣体表面具连续皮层（在基部）；粉芽和小鳞芽（近顶端）。本种与枪石蕊（C. coniocraea），麸皮石蕊（C. ramulosa）相似，可以通过地衣体表面结构不同来区分（见枪石蕊的讨论）。,四川（Sichuan） 稻城县，王；云南（Yunnan） 德钦县，王；中甸县，王立松 04-23186；西藏（Xizang） 林芝县，王。,无信息
